2017-03-26 12:27:50.053423|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.0.13.6 (2016-11-08 08:48:33)
2017-03-26 12:27:50.053531|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.4.44-1-pve #1 SMP PVE 4.4.44-84 (Thu, 9 Mar 2017 12:06:34 +0100) x86_64 Binary: 64bit
2017-03-26 12:27:50.053565|WARNING |ServerLibPriv |   |The system locale is set to "C" this can cause unexpected behavior. We advice you to repair your locale!
2017-03-26 12:27:50.053586|INFO    |ServerLibPriv |   |Using hardware aes
2017-03-26 12:27:50.054320|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2017-03-26 12:27:50.054354|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2017-03-26 12:27:50.054635|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2017-03-26 12:27:50.068731|INFO    |SQL           |   |database updated successfully to revision: 24
2017-03-26 12:27:50.069966|INFO    |SQL           |   |database updated successfully to revision: 25
2017-03-26 12:27:50.070870|INFO    |SQL           |   |database updated successfully to revision: 26
2017-03-26 12:27:50.071914|WARNING |Accounting    |   |Unable to find valid license key, falling back to limited functionality
2017-03-26 12:27:50.087185|INFO    |DatabaseQuery |   |database busy, waiting for finishing index tasks, may take some time!
2017-03-26 12:28:22.405293|INFO    |              |   |Puzzle precompute time: 2308
2017-03-26 12:28:22.405584|INFO    |DatabaseQuery |   |database busy, waiting for finishing index tasks, may take some time!
2017-03-26 12:28:27.406170|INFO    |FileManager   |   |listening on 0.0.0.0:30033, :::30033
2017-03-26 12:28:27.466428|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2017-03-26 12:28:27.466704|INFO    |Query         |   |listening on 0.0.0.0:10011, :::10011
2017-03-26 22:16:11.132104|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
2017-03-26 22:16:11.193504|INFO    |ServerMain    |   |Received signal SIGHUP, shutting down.
